player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Alla Kudryavtseva,11/3/87,ah-luh koo-dree-AFT-se-vuh,61,1.7,154,R,two,5-Feb,NA,2005,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/10164/title/alla-kudryavtseva,0,1,2,7,0,2,0,13,286548,2109404,24-19,294-269,21-13,250-199,24,19,294,269,21,13,250,199,WTA,8/5/14,29.09486697
Alona Bondarenko,8/13/84,a-LOH-nuh bon-da-REN-ko,66,1.6,130,R,two,1999,NA,1999,NA,"Kryvyi Rig, Ukraine",Kryvyi Rig,,Ukraine,"Kiev, Ukraine",Kiev,,Ukraine,,,,,http://www.wtatennis.com/players/player/984/title/alona-bondarenko,NA,2,NA,4,NA,5,NA,8,0,2780293,NA,340-269,NA,185-179,NA,NA,340,269,NA,NA,185,179,WTA,8/5/14,20.98025712
Alycia Moulton,2/18/61,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5045/title/alycia-moulton,NA,0,NA,1,NA,0,NA,1,0,207453,NA,57-60,NA,74-58,NA,NA,57,60,NA,NA,74,58,WTA,8/5/14,NA
Amelie Mauresmo,7/5/79,AH-meh-lee moh-RES-moh,69,1.7,152,R,one,1993,NA,1993,NA,"St. Germains en Laye, France",St. Germains en Laye,,France,"Geneva, Switzerland",Geneva,,Switzerland,,,,,http://www.wtatennis.com/players/player/5394/title/amelie-mauresmo,NA,25,NA,3,NA,2,NA,2,0,15022476,NA,545-227,NA,92-62,NA,NA,545,227,NA,NA,92,62,WTA,8/5/14,22.44402436
Amanda Coetzer,10/22/71,KOOT-ser,62,1.5,119,R,two,Jan-88,Ret June 2004,1988,2004,"Hoopstad, South Africa",Hoopstad,,South Africa,"Hoopstad, South Africa",Hoopstad,,South Africa,,,,,http://www.wtatennis.com/players/player/1162/title/amanda-coetzer,NA,9,NA,9,NA,4,NA,2,0,5594821,NA,568-337,NA,269-219,NA,NA,568,337,NA,NA,269,219,WTA,8/5/14,21.76300728
Amanda Hopmans,3/11/76,NA,65,1.6,126,R,,Feb-94,NA,1994,NA,"Goirle, Netherlands",Goirle,,Netherlands,"Riel, Netherlands",Riel,,Netherlands,,,,,http://www.wtatennis.com/players/player/3448/title/amanda-hopmans,NA,0,NA,0,NA,8,NA,11,0,331012,NA,223-162,NA,129-90,NA,NA,223,162,NA,NA,129,90,WTA,8/5/14,20.9652071
Amelie Cocheteux,3/27/78,NA,67,1.7,128,L,two,NA,NA,NA,NA,"Amiens, France",Amiens,,France,"Amiens, France",Amiens,,France,,,,,http://www.wtatennis.com/players/player/1472/title/amelie-cocheteux,NA,0,NA,0,NA,4,NA,0,0,422851,NA,165-145,NA,52-69,NA,NA,165,145,NA,NA,52,69,WTA,8/5/14,20.04544442
Amy Frazier,9/19/72,FRAY-zur,69,1.7,139,R,two,Jan-90,NA,1990,NA,"St. Louis, Missouri, USA",St. Louis,Missouri,USA,"Rochester, Michigan, USA",Rochester,Michigan,USA,,,,,http://www.wtatennis.com/players/player/2367/title/amy-frazier,NA,8,NA,4,NA,4,NA,5,0,3460799,NA,497-335,NA,200-225,NA,NA,497,335,NA,NA,200,225,WTA,8/5/14,20.52446965
Ana Ivanovic,11/6/87,NA,NA,1.8,152,R,two,3-Aug,NA,2003,NA,"Belgrade, Serbia",Belgrade,,Serbia,"Basel, Switzerland",Basel,,Switzerland,,,,,http://www.wtatennis.com/players/player/10999/title/ana-ivanovic,3,14,0,0,0,5,0,0,1157607,11935214,41-11,420-184,2-Jan,26-32,41,11,420,184,1,2,26,32,WTA,8/5/14,NA
Anabel Medina Garrigues,7/31/82,NA,66,1.6,130,R,two,Jan-98,NA,1998,NA,"Valencia, Spain",Valencia,,Spain,"Valencia, Spain",Valencia,,Spain,,,,,http://www.wtatennis.com/players/player/5564/title/anabel-medina-garrigues,0,11,2,23,0,6,0,3,207011,5572573,9-Mar,478-351,25-12,380-243,3,9,478,351,25,12,380,243,WTA,8/5/14,20.98025712
Anastasia Myskina,7/8/81,miss-KEE-nuh,68,1.7,130,R,two,NA,NA,NA,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/5484/title/anastasia-myskina,NA,10,NA,5,NA,3,NA,3,0,5606725,NA,355-191,NA,100-92,NA,NA,355,191,NA,NA,100,92,WTA,8/5/14,19.76427336
Anastasia Pavlyuchenkova,7/3/91,NA,61,1.7,159,R,two,5-Dec,NA,2005,NA,"Samara, Russia",Samara,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/13013/title/anastasia-pavlyuchenkova,1,6,0,4,0,5,0,8,557481,4322268,17-14,264-164,10-Oct,133-85,17,14,264,164,10,10,133,85,WTA,8/5/14,30.03950551
Anastasia Pivovarova,6/16/90,pi-voh-VAH-ro-vuh,NA,1.8,137,R,two,7-Jul,NA,2007,NA,"Chita, Russia",Chita,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/12619/title/anastasia-pivovarova,0,0,0,0,1,7,0,5,6151,358356,25-9,196-125,3-Jun,80-45,25,9,196,125,6,3,80,45,WTA,8/5/14,NA
Anastasia Rodionova,5/12/82,NA,65,1.6,130,R,two,May-97,NA,1997,NA,"Tambov, Russia",Tambov,,Russia,"Melbourne, Australia",Melbourne,,Australia,,,,,http://www.wtatennis.com/players/player/7054/title/anastasia-rodionova,0,0,2,8,0,8,0,13,198643,2673972,14-15,439-393,21-13,353-319,14,15,439,393,21,13,353,319,WTA,8/5/14,21.63076923
Anastasija Sevastova,4/13/90,NA,67,1.6,143,R,two,6-Apr,13-May,2006,2013,"Liepaja, Latvia",Liepaja,,Latvia,"Vienna, Austria",Vienna,,Austria,,,,,http://www.wtatennis.com/players/player/13196/title/anastasija-sevastova,NA,1,NA,0,NA,9,NA,1,0,756825,NA,216-123,NA,22-25,NA,NA,216,123,NA,NA,22,25,WTA,8/5/14,22.39451994
Anastasiya Yakimova,11/1/86,an-as-TASS-ee-yuh ya-kee-MOH-vuh,65,1.6,121,R,two,2001,NA,2001,NA,"Minsk, Belarus",Minsk,,Belarus,"Las Palmas de Gran Canaria, Spain",Las Palmas de Gran Canaria,,Spain,,,,,http://www.wtatennis.com/players/player/9945/title/anastasiya-yakimova,NA,0,NA,2,NA,12,NA,10,0,1071318,NA,339-233,NA,122-100,NA,NA,339,233,NA,NA,122,100,WTA,8/5/14,20.13325444
Anca Barna,5/14/77,un-kah BAR-nah,69,1.7,121,L,two,NA,NA,NA,NA,"Cluj, Romania",Cluj,,Romania,"Nuremberg, Germany",Nuremberg,,Germany,,,,,http://www.wtatennis.com/players/player/490/title/anca-barna,NA,0,NA,0,NA,2,NA,2,0,746387,NA,331-304,NA,75-135,NA,NA,331,304,NA,NA,75,135,WTA,8/5/14,17.86662466
Andrea Glass,7/17/76,NA,66,1.6,128,R,two,Aug-93,NA,1993,NA,"Darmstadt, Hessen, Germany",Darmstadt,Hessen,Germany,"Darmstadt, Hessen, Germany",Darmstadt,Hessen,Germany,,,,,http://www.wtatennis.com/players/player/2872/title/andrea-glass,NA,0,NA,0,NA,0,NA,3,0,589087,NA,207-225,NA,48-75,NA,NA,207,225,NA,NA,48,75,WTA,8/5/14,20.65748393
Andrea Hlavackova,8/10/86,NA,68,1.7,136,R,two,2004,NA,2004,NA,"Plzen, Czech Republic",Plzen,,Czech Republic,"Plzen, Czech Republic",Plzen,,Czech Republic,,,,,http://www.wtatennis.com/players/player/3654/title/andrea-hlavackova,0,0,0,14,0,7,0,18,219047,2500088,17-Aug,305-269,21-13,324-158,8,17,305,269,21,13,324,158,WTA,8/5/14,20.67647059
Andrea Jaeger,6/4/65,NA,66,1.6,133,R,two,21-Jan-80,1985,1980,1985,"Chicago, Illinois, USA",Chicago,Illinois,USA,"Aspen, Colorado, USA",Aspen,Colorado,USA,,,,,http://www.wtatennis.com/players/player/3780/title/andrea-jaeger,NA,0,NA,0,NA,10,NA,2,0,1379065,NA,260-85,NA,47-38,NA,NA,260,85,NA,NA,47,38,WTA,8/5/14,21.4644169
Andrea Leand,1/18/64,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4538/title/andrea-leand,NA,0,NA,0,NA,1,NA,2,0,346218,NA,142-151,NA,57-89,NA,NA,142,151,NA,NA,57,89,WTA,8/5/14,NA
