player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Laura Garrone,11/15/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2686/title/laura-garrone,NA,0,NA,5,NA,4,NA,5,0,491547,NA,225-198,NA,142-138,NA,NA,225,198,NA,NA,142,138,WTA,8/5/14,NA
Laura Golarsa,11/27/67,NA,65,1.6,125,R,,1986,NA,1986,NA,"Milan, Italy",Milan,,Italy,"Milan, Italy",Milan,,Italy,,,,,http://www.wtatennis.com/players/player/2703/title/laura-golarsa,NA,0,NA,6,NA,6,NA,3,0,1017301,NA,299-281,NA,213-204,NA,NA,299,281,NA,NA,213,204,WTA,8/5/14,20.79881657
Laura Granville,5/12/81,NA,69,1.7,130,R,two,2001,NA,2001,NA,"Chicago, Illinois, USA",Chicago,Illinois,USA,"Chicago, Illinois, USA",Chicago,Illinois,USA,,,,,http://www.wtatennis.com/players/player/3095/title/laura-granville,NA,0,NA,2,NA,9,NA,6,0,1327584,NA,249-177,NA,121-98,NA,NA,249,177,NA,NA,121,98,WTA,8/5/14,19.19554715
Laura Lapi,9/10/70,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4531/title/laura-lapi,NA,0,NA,0,NA,6,NA,1,0,138941,NA,154-96,NA,27-25,NA,NA,154,96,NA,NA,27,25,WTA,8/5/14,NA
Laura Pous-Tio,10/1/84,LOW-ruh poos TEE-oh,68,1.7,141,R,two,2003,NA,2003,NA,"Granollers, Spain",Granollers,,Spain,"Granollers, Spain",Granollers,,Spain,,,,,http://www.wtatennis.com/players/player/6366/title/laura-pous-tio,0,0,0,0,4,16,0,6,14495,712786,28-9,359-206,0-2,96-102,28,9,359,206,0,2,96,102,WTA,8/5/14,21.43663495
Laura Robson,1/21/94,NA,61,1.8,148,L,two,NA,NA,NA,NA,"Melbourne, Australia",Melbourne,,Australia,"London, England",London,,England,,,,,http://www.wtatennis.com/players/player/15680/title/laura-robson,0,0,0,0,0,1,0,0,28522,1174990,0-2,115-93,0-0,25-34,0,2,115,93,0,0,25,34,WTA,8/5/14,27.96130073
Lauren Davis,10/9/93,NA,62,1.5,121,R,two,11-Jan,NA,2011,NA,"Gates Mills, OH, USA",Gates Mills,Ohio,USA,"Boca Raton, FL, USA",Boca Raton,Florida,USA,,,,,http://www.wtatennis.com/players/player/16533/title/lauren-davis,0,0,0,0,0,7,0,0,371751,816101,29-15,142-75,4-Jan,18-Oct,29,15,142,75,1,4,10,18,WTA,8/5/14,22.12877211
Laurence Courtois,1/18/76,NA,67,1.7,134,R,,1993,NA,1993,NA,"Kortrijk, Belgium",Kortrijk,,Belgium,"Antwerpen, Belgium",Antwerpen,,Belgium,,,,,http://www.wtatennis.com/players/player/1386/title/laurence-courtois,NA,0,NA,4,NA,3,NA,13,0,739366,NA,220-177,NA,183-131,NA,NA,220,177,NA,NA,183,131,WTA,8/5/14,20.98507463
Lea Antonoplis-Inoye,1/20/59,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/20/title/lea-antonoplis-inoye,NA,0,NA,1,NA,0,NA,1,0,154222,NA,78-96,NA,99-110,NA,NA,78,96,NA,NA,99,110,WTA,8/5/14,NA
Lea Ghirardi,2/10/74,NA,62,1.5,112,R,two,NA,NA,NA,NA,"Colombes, France",Colombes,,France,"Paris, France",Paris,,France,,,,,http://www.wtatennis.com/players/player/2865/title/lea-ghirardi,NA,0,NA,0,NA,6,NA,3,0,355867,NA,226-194,NA,60-79,NA,NA,226,194,NA,NA,60,79,WTA,8/5/14,20.48283039
Leigh Thompson,1/8/64,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8158/title/leigh-thompson,NA,0,NA,0,NA,0,NA,0,0,29307,NA,36-32,NA,2-Jan,NA,NA,36,32,NA,NA,1,2,WTA,8/5/14,NA
Leila Meskhi,1/5/68,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5016/title/leila-meskhi,NA,5,NA,5,NA,1,NA,2,0,1169566,NA,223-134,NA,171-122,NA,NA,223,134,NA,NA,171,122,WTA,8/5/14,NA
Lena Sandin,8/8/61,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7188/title/lena-sandin,NA,0,NA,0,NA,0,NA,5,0,7558,NA,15-24,NA,28-16,NA,NA,15,24,NA,NA,28,16,WTA,8/5/14,NA
Lenka Cenkova,1/24/77,NA,69,1.7,138,R,two,17-Oct-92,NA,1992,NA,"Trinec, Czech Republic",Trinec,,Czech Republic,"Otavska, Czech Republic",Otavska,,Czech Republic,,,,,http://www.wtatennis.com/players/player/1424/title/lenka-cenkova,NA,0,NA,0,NA,4,NA,8,0,140669,NA,148-114,NA,91-51,NA,NA,148,114,NA,NA,91,51,WTA,8/5/14,20.37681159
Lenka Nemeckova,4/20/76,ne-METCH-koh-vuh,67,1.7,128,R,two,1-Jun-94,NA,1994,NA,"Brno, Czech Republic",Brno,,Czech Republic,"Brno, Czech Republic",Brno,,Czech Republic,,,,,http://www.wtatennis.com/players/player/5847/title/lenka-nemeckova,NA,0,NA,1,NA,4,NA,16,0,533966,NA,326-284,NA,207-170,NA,NA,326,284,NA,NA,207,170,WTA,8/5/14,20.04544442
Lesia Tsurenko,5/30/89,NA,69,1.7,148,R,two,2007,NA,2007,NA,"Vladimirec, Ukraine",Vladimirec,,Ukraine,"Kiev, Ukraine",Kiev,,Ukraine,,,,,http://www.wtatennis.com/players/player/14447/title/lesia-tsurenko,0,0,0,0,0,6,0,8,138572,820274,30-21,255-165,3-Mar,101-55,30,21,255,165,3,3,101,55,WTA,8/5/14,21.85339214
Leslie Allen,3/12/57,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/13/title/leslie-allen,NA,0,NA,0,NA,0,NA,0,0,20606,NA,21-Dec,NA,15-Nov,NA,NA,12,21,NA,NA,11,15,WTA,8/5/14,NA
Lilia Osterloh,4/7/78,NA,67,1.7,132,R,two,Aug-97,NA,1997,NA,"Columbus, OH, USA",Columbus,Ohio,USA,"Palo Alto, California, USA",Palo Alto,California,USA,"Newport Beach, CA, USA",Newport Beach,California,USA,http://www.wtatennis.com/players/player/6100/title/lilia-osterloh,NA,0,NA,3,NA,3,NA,10,0,1349462,NA,385-366,NA,192-215,NA,NA,385,366,NA,NA,192,215,WTA,8/5/14,20.67186456
Lilian Kelaidis,5/23/65,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1789/title/lilian-kelaidis,NA,0,NA,0,NA,1,NA,0,0,66189,NA,40-38,NA,Nov-31,NA,NA,40,38,NA,NA,11,31,WTA,8/5/14,NA
Lina Krasnoroutskaya,4/29/84,LEE-nah kraz-no-root-SKEYE-ah,68,1.7,130,R,two,1999,NA,1999,NA,"Obninsk, Russia",Obninsk,,Russia,"Obninsk, Russia",Obninsk,,Russia,,,,,http://www.wtatennis.com/players/player/4403/title/lina-krasnoroutskaya,NA,0,NA,1,NA,1,NA,0,0,947916,NA,131-83,NA,60-54,NA,NA,131,83,NA,NA,60,54,WTA,8/5/14,19.76427336
Linda Ferrando,1/12/66,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2350/title/linda-ferrando,NA,0,NA,1,NA,3,NA,2,0,501483,NA,160-151,NA,76-98,NA,NA,160,151,NA,NA,76,98,WTA,8/5/14,NA
Linda Wild,2/11/71,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3210/title/linda-wild,NA,5,NA,5,NA,2,NA,0,0,1237931,NA,239-201,NA,175-157,NA,NA,239,201,NA,NA,175,157,WTA,8/5/14,NA
Lindsay Davenport,6/8/76,NA,74,1.8,175,R,two,22-Feb-93,NA,1993,NA,"Palos Verdes, CA, USA",Palos Verdes,California,USA,"Laguna Beach, CA, USA",Laguna Beach,California,USA,,,,,http://www.wtatennis.com/players/player/1836/title/lindsay-davenport,NA,55,NA,38,NA,0,NA,1,0,22166338,NA,753-194,NA,387-116,NA,NA,753,194,NA,NA,387,116,WTA,8/5/14,22.46621622
Lindsay Lee-Waters,6/28/77,NA,68,1.7,135,R,two,NA,NA,NA,NA,"Oklahoma City, OK, USA",Oklahoma City,Oklahoma,USA,"Dunwoody, GA, USA",Dunwoody,Georgia,USA,,,,,http://www.wtatennis.com/players/player/4792/title/lindsay-lee-waters,NA,0,NA,0,NA,11,NA,21,0,855778,NA,442-366,NA,302-228,NA,NA,442,366,NA,NA,302,228,WTA,8/5/14,20.52443772
Lisa Bonder-Kreiss,10/16/65,NA,70,1.7,135,R,two,21-Jun-82,1991,1982,1991,"Columbus, Ohio, USA",Columbus,Ohio,USA,"Beverly Hills, California, USA",Beverly Hills,California,USA,,,,,http://www.wtatennis.com/players/player/435/title/lisa-bonder-kreiss,NA,0,NA,0,NA,0,NA,0,0,212395,NA,62-78,NA,26-Sep,NA,NA,62,78,NA,NA,9,26,WTA,8/5/14,19.36836735
Lisa Raymond,8/10/73,NA,65,1.6,121,R,one,May-93,NA,1993,NA,"Norristown, PA, USA",Norristown,Pennsylvania,USA,"Media, PA, USA",Media,Pennsylvania,USA,,,,,http://www.wtatennis.com/players/player/6840/title/lisa-raymond,0,4,0,79,0,0,0,1,89296,9875831,0-0,390-299,17-14,844-330,0,0,390,299,17,14,844,330,WTA,8/5/14,20.13325444
Lori McNeil,12/18/63,NA,67,1.7,135,R,,1983,NA,1983,NA,"San Diego, California, USA",San Diego,California,USA,"Houston, Texas, USA",Houston,Texas,USA,,,,,http://www.wtatennis.com/players/player/5003/title/lori-mcneil,NA,10,NA,32,NA,1,NA,3,0,3441604,NA,436-309,NA,605-335,NA,NA,436,309,NA,NA,605,335,WTA,8/5/14,21.14167966
Louise Allen,1/7/62,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/14/title/louise-allen,NA,0,NA,0,NA,3,NA,5,0,319712,NA,174-163,NA,87-120,NA,NA,174,163,NA,NA,87,120,WTA,8/5/14,NA
Louise Field,2/25/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2351/title/louise-field,NA,0,NA,2,NA,4,NA,7,0,387155,NA,183-210,NA,168-171,NA,NA,183,210,NA,NA,168,171,WTA,8/5/14,NA
Lourdes Dominguez Lino,3/31/81,NA,64,1.6,133,R,one,1996,NA,1996,NA,"Pontevedra, Spain",Pontevedra,,Spain,"Barcelona, Spain  ",Barcelona,,Spain,,,,,http://www.wtatennis.com/players/player/2029/title/lourdes-dominguez-lino,0,2,0,6,0,14,1,34,194683,2112617,14-18,498-359,8-Dec,359-209,14,18,498,359,12,8,359,209,WTA,8/5/14,22.8269043
Lubomira Bacheva,3/7/75,BAH-chay-vuh,NA,1.8,141,R,,1990,NA,1990,NA,"Sofia, Bulgaria",Sofia,,Bulgaria,"Sofia, Bulgaria",Sofia,,Bulgaria,,,,,http://www.wtatennis.com/players/player/620/title/lubomira-bacheva,NA,0,NA,2,NA,9,NA,11,0,534838,NA,381-275,NA,179-150,NA,NA,381,275,NA,NA,179,150,WTA,8/5/14,NA
Lubomira Kurhajcova,10/11/83,loo-bo-MEER-ah koor-HITE-so-vuh,61,1.8,143,R,two,2002,NA,2002,NA,"Bratislava, Slovak Republic",Bratislava,,Slovak Republic,"Bratislava, Slovakia",Bratislava,,Slovakia,,,,,http://www.wtatennis.com/players/player/4442/title/lubomira-kurhajcova,NA,0,NA,0,NA,4,NA,3,0,366913,NA,217-210,NA,68-89,NA,NA,217,210,NA,NA,68,89,WTA,8/5/14,27.01666219
Lucia Romanov,4/28/59,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6799/title/lucia-romanov,NA,0,NA,0,NA,0,NA,0,0,3200,NA,8-Apr,NA,3-Mar,NA,NA,4,8,NA,NA,3,3,WTA,8/5/14,NA
Lucie Hradecka,5/21/85,NA,61,1.7,159,R,two,NA,NA,NA,NA,"Prague, Czech Republic",Prague,,Czech Republic,"Prague, Czech Republic",Prague,,Czech Republic,,,,,http://www.wtatennis.com/players/player/10157/title/lucie-hradecka,0,0,0,17,1,19,1,33,212468,3191111,20-10,402-255,17-8,390-153,20,10,402,255,17,8,390,153,WTA,8/5/14,30.03950551
Lucie Safarova,2/4/87,NA,69,1.7,137,L,two,2002,NA,2002,NA,"Brno, Czech Republic",Brno,,Czech Republic,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/9869/title/lucie-safarova,0,5,1,4,0,7,0,1,1267791,5281380,25-17,340-242,18-13,87-105,25,17,340,242,18,13,87,105,WTA,8/5/14,20.22915354
Ludmila Cervanova,10/15/79,lood-MEE-luh sair-vuh-NOH-vuh,67,1.7,137,R,,1997,NA,1997,NA,"Piestany, Slovakia",Piestany,,Slovakia,"Piestany, Slovakia",Piestany,,Slovakia,,,,,http://www.wtatennis.com/players/player/1515/title/ludmila-cervanova,NA,0,NA,0,NA,7,NA,7,0,660547,NA,289-236,NA,90-85,NA,NA,289,236,NA,NA,90,85,WTA,8/5/14,21.45488973
Ludmila Richterova,3/7/77,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6947/title/ludmila-richterova,NA,1,NA,0,NA,7,NA,4,0,316557,NA,157-141,NA,74-77,NA,NA,157,141,NA,NA,74,77,WTA,8/5/14,NA
Luksika Kumkhum,7/21/93,NA,66,1.6,148,R,two,NA,NA,NA,NA,"Chantraburi, Thailand",Chantraburi,,Thailand,"Chantraburi, Thailand",Chantraburi,,Thailand,,,,,http://www.wtatennis.com/players/player/16107/title/luksika-kumkhum,0,0,0,0,0,10,0,8,117235,283078,17-14,166-69,6-May,77-45,17,14,166,69,5,6,77,45,WTA,8/5/14,23.88521579
Madison Keys,2/17/95,NA,61,1.7,145,R,two,17-Feb-09,NA,2009,NA,"Rock Island, IL, USA",Rock Island,Illinois,USA,"Boca Raton, FL, USA",Boca Raton,Florida,USA,,,,,http://www.wtatennis.com/players/player/16049/title/madison-keys,1,1,0,0,0,3,0,1,493324,1095594,24-16,119-71,5-May,15-Nov,24,16,119,71,5,5,11,15,WTA,8/5/14,27.3945176
Magdalena Grzybowska,11/22/78,NA,73,1.8,145,R,two,15-May-95,NA,1995,NA,"Poznan, Poland",Poznan,,Poland,"Krakow, Poland",Krakow,,Poland,,,,,http://www.wtatennis.com/players/player/2996/title/magdalena-grzybowska,NA,0,NA,0,NA,4,NA,3,0,542889,NA,139-115,NA,51-66,NA,NA,139,115,NA,NA,51,66,WTA,8/5/14,19.12835429
Magdalena Maleeva,4/1/75,ma-LAY-vuh,66,1.6,130,R,two,Apr-89,NA,1989,NA,"Sofia, Bulgaria",Sofia,,Bulgaria,"Sofia, Bulgaria",Sofia,,Bulgaria,,,,,http://www.wtatennis.com/players/player/5191/title/magdalena-maleeva,NA,10,NA,5,NA,1,NA,1,0,4398582,NA,439-290,NA,121-133,NA,NA,439,290,NA,NA,121,133,WTA,8/5/14,20.98025712
Magdalena Rybarikova,10/4/88,NA,61,1.8,143,R,two,2005,NA,2005,NA,"Piestany, Slovakia",Piestany,,Slovakia,"Bratislava, Slovakia",Bratislava,,Slovakia,,,,,http://www.wtatennis.com/players/player/11827/title/magdalena-rybarikova,0,4,0,1,0,5,0,1,376364,2074686,20-Dec,311-210,3-Aug,54-51,12,20,311,210,8,3,54,51,WTA,8/5/14,27.01666219
Magui Serna,3/1/79,MOW-ee SAIR-nuh,65,1.6,143,L,,1996,NA,1996,NA,"Las Palmas de Gran Canaria, Spain",Las Palmas de Gran Canaria,,Spain,"Las Palmas, Spain",Las Palmas,,Spain,,,,,http://www.wtatennis.com/players/player/7656/title/magui-serna,NA,3,NA,2,NA,6,NA,1,0,2065291,NA,329-256,NA,116-144,NA,NA,329,256,NA,NA,116,144,WTA,8/5/14,23.79384615
Maja Matevzic,6/13/80,MEYE-ah ma-TEV-zich,69,1.7,136,L,two,2000,NA,2000,NA,"Ljubljana, Slovenia",Ljubljana,,Slovenia,"Ljubljana, Slovenia",Ljubljana,,Slovenia,,,,,http://www.wtatennis.com/players/player/5507/title/maja-matevzic,NA,1,NA,2,NA,4,NA,5,0,593426,NA,199-149,NA,105-100,NA,NA,199,149,NA,NA,105,100,WTA,8/5/14,20.08149548
Maja Zivec-Skulj,9/25/73,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/9249/title/maja-zivec-skulj,NA,0,NA,0,NA,4,NA,2,0,183901,NA,169-144,NA,69-78,NA,NA,169,144,NA,NA,69,78,WTA,8/5/14,NA
Mallory Burdette,1/28/91,NA,61,1.7,162,R,two,12-Sep,NA,2012,NA,"Macon, GA, USA",Macon,Georgia,USA,"Jackson, GA, USA",Jackson,Georgia,USA,,,,,http://www.wtatennis.com/players/player/13782/title/mallory-burdette,NA,0,NA,0,NA,2,NA,0,0,316417,NA,42-30,NA,15-Nov,NA,NA,42,30,NA,NA,11,15,WTA,8/5/14,30.60628863
Mana Endo,2/6/71,NA,63,1.6,119,R,,8-Apr-91,NA,1991,NA,"Hiroshima, Japan",Hiroshima,,Japan,"Fukuyama City, Japan",Fukuyama City,,Japan,,,,,http://www.wtatennis.com/players/player/2224/title/mana-endo,NA,1,NA,0,NA,4,NA,0,0,463765,NA,144-108,NA,25-42,NA,NA,144,108,NA,NA,25,42,WTA,8/5/14,21.07760141
Mandy Minella,11/22/85,NA,61,1.8,143,R,two,NA,NA,NA,NA,"Esch-sur-Alzette, Luxembourg",Esch-sur-Alzette,,Luxembourg,"Esch-sur-Alzette, Luxembourg",Esch-sur-Alzette,,Luxembourg,,,,,http://www.wtatennis.com/players/player/9755/title/mandy-minella,0,0,0,2,1,9,0,5,120370,905773,17-17,318-264,13-12,101-118,17,17,318,264,13,12,101,118,WTA,8/5/14,27.01666219
Manon Bollegraf,4/10/64,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/433/title/manon-bollegraf,NA,1,NA,26,NA,2,NA,4,0,2107856,NA,161-151,NA,495-247,NA,NA,161,151,NA,NA,495,247,WTA,8/5/14,NA
Manuela Maleeva-Fragniere,2/14/67,NA,68,1.7,127,R,two,1982,Feb-94,1982,1994,"Sofia, Bulgaria",Sofia,,Bulgaria,"St. Legier, Switzerland",St. Legier,,Switzerland,,,,,http://www.wtatennis.com/players/player/4961/title/manuela-maleeva-fragniere,NA,19,NA,4,NA,0,NA,1,0,3191557,NA,475-187,NA,129-131,NA,NA,475,187,NA,NA,129,131,WTA,8/5/14,19.30817474
Mara Santangelo,6/28/81,MAH-ruh san-TAN-jeh-loe,NA,1.8,141,R,two,1998,28-Jan-11,1998,2011,"Latina, Italy",Latina,,Italy,"Rome, Italy",Rome,,Italy,,,,,http://www.wtatennis.com/players/player/7824/title/mara-santangelo,NA,1,NA,9,NA,8,NA,14,0,1691549,NA,286-238,NA,219-143,NA,NA,286,238,NA,NA,219,143,WTA,8/5/14,NA
Maria Emilia Salerni,5/14/83,NA,68,1.7,136,R,two,NA,NA,NA,NA,"Rafaela, Argentina",Rafaela,,Argentina,"Rafaela, Argentina",Rafaela,,Argentina,,,,,http://www.wtatennis.com/players/player/8012/title/maria-emilia-salerni,NA,0,NA,2,NA,12,NA,10,0,692277,NA,272-178,NA,159-126,NA,NA,272,178,NA,NA,159,126,WTA,8/5/14,20.67647059
Maria Jose Martinez Sanchez,8/12/82,NA,69,1.7,150,L,two,1996,NA,1996,NA,"Yecla, Spain",Yecla,,Spain,"Barcelona, Spain",Barcelona,,Spain,,,,,http://www.wtatennis.com/players/player/5542/title/maria-jose-martinez-sanchez,NA,5,NA,16,NA,12,NA,22,0,3325293,NA,357-238,NA,379-175,NA,NA,357,238,NA,NA,379,175,WTA,8/5/14,22.14870825
Maria Sanchez Lorenzo,11/7/77,NA,67,1.7,130,R,two,1994,2006,1994,2006,"Salamanca, Spain",Salamanca,,Spain,"Barcelona, Spain",Barcelona,,Spain,,,,,http://www.wtatennis.com/players/player/7610/title/maria-sanchez-lorenzo,NA,1,NA,0,NA,9,NA,1,0,1268365,NA,308-283,NA,44-59,NA,NA,308,283,NA,NA,44,59,WTA,8/5/14,20.35865449
Maria Teresa Torro Flor,5/2/92,NA,61,1.7,137,R,two,NA,NA,NA,NA,"Villena, Spain",Villena,,Spain,"Villena, Spain",Villena,,Spain,,,,,http://www.wtatennis.com/players/player/13943/title/maria-teresa-torro-flor,1,1,1,2,0,11,0,1,278101,691143,16-Nov,177-108,5-Sep,26-27,11,16,177,108,9,5,26,27,WTA,8/5/14,25.88309594
Marcella Mesker,5/23/59,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5015/title/marcella-mesker,NA,1,NA,1,NA,0,NA,1,0,147922,NA,44-54,NA,69-56,NA,NA,44,54,NA,NA,69,56,WTA,8/5/14,NA
Maret Ani,1/31/82,NA,69,1.7,139,R,two,1997,NA,1997,NA,"Tallinn, Estonia",Tallinn,,Estonia,"Ravkere, Estonia",Ravkere,,Estonia,,,,,http://www.wtatennis.com/players/player/276/title/maret-ani,NA,0,NA,0,NA,7,NA,17,0,734010,NA,335-263,NA,197-144,NA,NA,335,263,NA,NA,197,144,WTA,8/5/14,20.52446965
Maria Elena Camerin,3/21/82,ma-REE-ah eh-LAY-nuh ca-mer-EEN,64,1.6,123,R,two,1997,NA,1997,NA,"Motta de Livenza, Italy",Motta de Livenza,,Italy,"Brescia, Italy",Brescia,,Italy,,,,,http://www.wtatennis.com/players/player/1587/title/maria-elena-camerin,0,0,0,3,0,10,0,9,12618,1716280,13-16,427-400,6-Mar,205-192,13,16,427,400,3,6,205,192,WTA,8/5/14,21.1105957
Maria Francesca Bentivoglio,1/27/77,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/716/title/maria-francesca-bentivoglio,NA,0,NA,0,NA,0,NA,0,0,50031,NA,36-30,NA,4-Feb,NA,NA,36,30,NA,NA,2,4,WTA,8/5/14,NA
Maria Jose Gaidano,5/25/73,NA,67,1.7,138,R,two,Jan-92,NA,1992,NA,"Buenos Aires, Argentina",Buenos Aires,,Argentina,"Buenos Aires, Argentina",Buenos Aires,,Argentina,,,,,http://www.wtatennis.com/players/player/2885/title/maria-jose-gaidano,NA,0,NA,2,NA,1,NA,2,0,299016,NA,214-171,NA,64-87,NA,NA,214,171,NA,NA,64,87,WTA,8/5/14,21.61149476
Maria Kirilenko,1/25/87,NA,69,1.7,134,R,two,7-Oct-01,NA,2001,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/9891/title/maria-kirilenko,0,6,0,12,0,3,0,0,148598,6774301,5-Feb,361-254,3-Feb,253-149,2,5,361,254,2,3,253,149,WTA,8/5/14,19.78617937
Maria Lindstrom,3/7/63,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4554/title/maria-lindstrom,NA,1,NA,5,NA,0,NA,7,0,318872,NA,143-169,NA,176-192,NA,NA,143,169,NA,NA,176,192,WTA,8/5/14,NA
Maria Sharapova,4/19/87,NA,74,1.8,130,A,two,19-Apr-01,NA,2001,NA,"Nyagan, Russia",Nyagan,,Russia,"Bradenton, FL, USA",Bradenton,Florida,USA,,,,,http://www.wtatennis.com/players/player/9499/title/maria-sharapova,3,32,0,3,0,4,0,0,3873460,30569305,34-7,543-129,0-0,23-17,34,7,543,129,0,0,23,17,WTA,8/5/14,16.68918919
Maria Strandlund,8/17/69,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7317/title/maria-strandlund,NA,0,NA,2,NA,0,NA,9,0,446321,NA,180-165,NA,145-139,NA,NA,180,165,NA,NA,145,139,WTA,8/5/14,NA
Maria Vento-Kabchi,5/24/74,VEN-toe KAB-chee,66,1.6,130,R,two,25-Feb-94,NA,1994,NA,"Caracas, Venezuela",Caracas,,Venezuela,"Caracas, Venezuela",Caracas,,Venezuela,"Miami, Florida, USA",Miami,Florida,USA,http://www.wtatennis.com/players/player/8338/title/maria-vento-kabchi,NA,0,NA,4,NA,7,NA,2,0,1591803,NA,361-324,NA,153-157,NA,NA,361,324,NA,NA,153,157,WTA,8/5/14,20.98025712
Mariaan De Swardt,3/18/71,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1750/title/mariaan-de-swardt,NA,1,NA,4,NA,9,NA,7,0,1140865,NA,204-136,NA,196-131,NA,NA,204,136,NA,NA,196,131,WTA,8/5/14,NA
Mariana Diaz-Oliva,3/11/76,ma-ree-AH-nuh DEE-az o-LEE-vuh,67,1.7,141,R,two,Sep-92,NA,1992,NA,"Buenos Aires, Argentina",Buenos Aires,,Argentina,"Buenos Aires, Argentina",Buenos Aires,,Argentina,,,,,http://www.wtatennis.com/players/player/1928/title/mariana-diaz-oliva,NA,1,NA,0,NA,16,NA,15,0,1009342,NA,382-291,NA,145-143,NA,NA,382,291,NA,NA,145,143,WTA,8/5/14,22.08130987
Mariana Duque-Marino,8/12/89,NA,67,1.6,137,R,two,2005,NA,2005,NA,"Bogotíç, Colombia",Bogotíç,,Colombia,"Bogotíç, Colombia",Bogotíç,,Colombia,,,,,http://www.wtatennis.com/players/player/11819/title/mariana-duque-marino,0,1,0,2,1,16,1,8,81903,693582,17-17,295-187,16-8,108-66,17,17,295,187,16,8,108,66,WTA,8/5/14,21.45488973
Mariana Perez-Roldan,11/7/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6180/title/mariana-perez-roldan,NA,0,NA,0,NA,1,NA,3,0,66853,NA,79-48,NA,42-32,NA,NA,79,48,NA,NA,42,32,WTA,8/5/14,NA
Marianne Werdel-Witmeyer,10/17/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8858/title/marianne-werdel-witmeyer,NA,0,NA,0,NA,3,NA,1,0,1044641,NA,237-227,NA,102-161,NA,NA,237,227,NA,NA,102,161,WTA,8/5/14,NA
Marie-Christine Calleja,1/14/64,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1127/title/marie-christine-calleja,NA,0,NA,0,NA,0,NA,0,0,71747,NA,72-79,NA,11-Jan,NA,NA,72,79,NA,NA,1,11,WTA,8/5/14,NA
