"country_code","player","rank","match","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country","gender"
"FRA","Nicolas Mahut",NA,18,1,36,"2014-08-23 14:46:59",1982-01-21,74.80319,176,"R",32.5859000684463,32,"France","Mens"
"FRA","Richard Gasquet",12,56,1,112,"2014-08-23 14:46:59",1986-06-18,72.834685,165,"R",28.1806981519507,28,"France","Mens"
"FRA","Julien Benneteau",24,12,1,24,"2014-08-23 14:46:59",1981-12-20,72.834685,174,"R",32.6735112936345,32,"France","Mens"
"FRA","Paul-Henri Mathieu",NA,2,1,4,"2014-08-23 14:46:59",1982-01-12,72.834685,163,"R",32.6105407255305,32,"France","Mens"
"FRA","Michael Llodra",NA,6,1,11,"2014-08-23 14:46:59",1980-05-18,74.80319,176,"L",34.2642026009582,34,"France","Mens"
"FRA","Edouard Roger-Vasselin",NA,24,1,47,"2014-08-23 14:46:59",1983-11-28,74.015788,165,"R",30.735112936345,30,"France","Mens"
"GBR","Andy Murray",8,16,1,32,"2014-08-23 14:46:59",1987-05-15,74.80319,185,"R",27.27446954141,27,"Great Britain","Mens"
"GER","Jan-Lennard Struff",NA,7,1,14,"2014-08-23 14:46:59",1990-04-25,77.165396,192,"R",24.3285420944559,24,"Germany","Mens"
"GER","Matthias Bachinger",NA,15,1,29,"2014-08-23 14:46:59",1987-04-02,74.015788,183,"R",27.3921971252567,27,"Germany","Mens"
"GER","Dustin Brown",NA,47,1,94,"2014-08-23 14:46:59",1984-12-08,77.165396,172,"R",29.7056810403833,29,"Germany","Mens"
"GER","Philipp Kohlschreiber",22,5,1,9,"2014-08-23 14:46:59",1983-10-16,70.078778,154,"R",30.8528405201916,30,"Germany","Mens"
"GER","Benjamin Becker",NA,31,1,62,"2014-08-23 14:46:59",1981-06-16,70.078778,158,"R",33.1854893908282,33,"Germany","Mens"
"GER","Andreas Beck",NA,11,1,22,"2014-08-23 14:46:59",1986-02-05,74.80319,198,"L",28.5448323066393,28,"Germany","Mens"
"GER","Peter Gojowczyk",NA,31,1,61,"2014-08-23 14:46:59",1989-07-15,72.834685,183,"R",25.1060917180014,25,"Germany","Mens"
