,year,set_number,score_sets,games_winner,games_loser,score_extra,tiebreaker_winner,tiebreaker_loser,country_winner,winner,country_loser,loser,score_match,genderID,typeID,tournID,tourID
60,1896,5,6дус1,6,1,,,,USA,Robert Wrenn,USA,Frederick Hovey,"7-5, 3-6, 6-0, 1-6, 6-1",M,S,USO,ATP
61,1897,1,4дус6,4,6,,,,USA,Robert Wrenn,GBR,Wilberforce Eaves,"4-6, 8-6, 6-3, 2-6, 6-2",M,S,USO,ATP
62,1897,2,8дус6,8,6,,,,USA,Robert Wrenn,GBR,Wilberforce Eaves,"4-6, 8-6, 6-3, 2-6, 6-2",M,S,USO,ATP
63,1897,3,6дус3,6,3,,,,USA,Robert Wrenn,GBR,Wilberforce Eaves,"4-6, 8-6, 6-3, 2-6, 6-2",M,S,USO,ATP
64,1897,4,2дус6,2,6,,,,USA,Robert Wrenn,GBR,Wilberforce Eaves,"4-6, 8-6, 6-3, 2-6, 6-2",M,S,USO,ATP
65,1897,5,6дус2,6,2,,,,USA,Robert Wrenn,GBR,Wilberforce Eaves,"4-6, 8-6, 6-3, 2-6, 6-2",M,S,USO,ATP
66,1898,1,3дус6,3,6,,,,USA,Malcolm Whitman,USA,Dwight Davis,"3-6, 6-2, 6-2, 6-1",M,S,USO,ATP
67,1898,2,6дус2,6,2,,,,USA,Malcolm Whitman,USA,Dwight Davis,"3-6, 6-2, 6-2, 6-1",M,S,USO,ATP
68,1898,3,6дус2,6,2,,,,USA,Malcolm Whitman,USA,Dwight Davis,"3-6, 6-2, 6-2, 6-1",M,S,USO,ATP
69,1898,4,6дус1,6,1,,,,USA,Malcolm Whitman,USA,Dwight Davis,"3-6, 6-2, 6-2, 6-1",M,S,USO,ATP
70,1899,1,6дус1,6,1,,,,USA,Malcolm Whitman,USA,Jahial Parmly Paret,"6-1, 6-2, 3-6, 7-5",M,S,USO,ATP
71,1899,2,6дус2,6,2,,,,USA,Malcolm Whitman,USA,Jahial Parmly Paret,"6-1, 6-2, 3-6, 7-5",M,S,USO,ATP
72,1899,3,3дус6,3,6,,,,USA,Malcolm Whitman,USA,Jahial Parmly Paret,"6-1, 6-2, 3-6, 7-5",M,S,USO,ATP
73,1899,4,7дус5,7,5,,,,USA,Malcolm Whitman,USA,Jahial Parmly Paret,"6-1, 6-2, 3-6, 7-5",M,S,USO,ATP
74,1900,1,6дус4,6,4,,,,USA,Malcolm Whitman,USA,William Larned,"6-4, 1-6, 6-2, 6-2",M,S,USO,ATP
75,1900,2,1дус6,1,6,,,,USA,Malcolm Whitman,USA,William Larned,"6-4, 1-6, 6-2, 6-2",M,S,USO,ATP
76,1900,3,6дус2,6,2,,,,USA,Malcolm Whitman,USA,William Larned,"6-4, 1-6, 6-2, 6-2",M,S,USO,ATP
77,1900,4,6дус2,6,2,,,,USA,Malcolm Whitman,USA,William Larned,"6-4, 1-6, 6-2, 6-2",M,S,USO,ATP
78,1901,1,6дус2,6,2,,,,USA,William Larned,USA,Beals Wright,"6-2, 6-8, 6-4, 6-4",M,S,USO,ATP
79,1901,2,6дус8,6,8,,,,USA,William Larned,USA,Beals Wright,"6-2, 6-8, 6-4, 6-4",M,S,USO,ATP
80,1901,3,6дус4,6,4,,,,USA,William Larned,USA,Beals Wright,"6-2, 6-8, 6-4, 6-4",M,S,USO,ATP
81,1901,4,6дус4,6,4,,,,USA,William Larned,USA,Beals Wright,"6-2, 6-8, 6-4, 6-4",M,S,USO,ATP
82,1902,1,4дус6,4,6,,,,USA,William Larned,GBR,Reginald Doherty,"4-6, 6-2, 6-4, 8-6",M,S,USO,ATP
83,1902,2,6дус2,6,2,,,,USA,William Larned,GBR,Reginald Doherty,"4-6, 6-2, 6-4, 8-6",M,S,USO,ATP
84,1902,3,6дус4,6,4,,,,USA,William Larned,GBR,Reginald Doherty,"4-6, 6-2, 6-4, 8-6",M,S,USO,ATP
85,1902,4,8дус6,8,6,,,,USA,William Larned,GBR,Reginald Doherty,"4-6, 6-2, 6-4, 8-6",M,S,USO,ATP
86,1903,1,6дус0,6,0,,,,GBR,Lawrence Doherty,USA,William Larned,"6-0, 6-3, 10-8",M,S,USO,ATP
87,1903,2,6дус3,6,3,,,,GBR,Lawrence Doherty,USA,William Larned,"6-0, 6-3, 10-8",M,S,USO,ATP
88,1903,3,10дус8,10,8,,,,GBR,Lawrence Doherty,USA,William Larned,"6-0, 6-3, 10-8",M,S,USO,ATP
89,1904,1,10дус8,10,8,,,,USA,Holcombe Ward,USA,William Clothier,"10-8, 6-4, 9-7",M,S,USO,ATP
90,1904,2,6дус4,6,4,,,,USA,Holcombe Ward,USA,William Clothier,"10-8, 6-4, 9-7",M,S,USO,ATP
91,1904,3,9дус7,9,7,,,,USA,Holcombe Ward,USA,William Clothier,"10-8, 6-4, 9-7",M,S,USO,ATP
92,1905,1,6дус2,6,2,,,,USA,Beals Wright,USA,Holcombe Ward,"6-2, 6-1, 11-9",M,S,USO,ATP
93,1905,2,6дус1,6,1,,,,USA,Beals Wright,USA,Holcombe Ward,"6-2, 6-1, 11-9",M,S,USO,ATP
94,1905,3,11дус9,11,9,,,,USA,Beals Wright,USA,Holcombe Ward,"6-2, 6-1, 11-9",M,S,USO,ATP
95,1906,1,6дус3,6,3,,,,USA,William Clothier,USA,Beals Wright,"6-3, 6-0, 6-4",M,S,USO,ATP
96,1906,2,6дус0,6,0,,,,USA,William Clothier,USA,Beals Wright,"6-3, 6-0, 6-4",M,S,USO,ATP
97,1906,3,6дус4,6,4,,,,USA,William Clothier,USA,Beals Wright,"6-3, 6-0, 6-4",M,S,USO,ATP
98,1907,1,6дус2,6,2,,,,USA,William Larned,USA,Robert LeRoy,"6-2, 6-2, 6-4",M,S,USO,ATP
99,1907,2,6дус2,6,2,,,,USA,William Larned,USA,Robert LeRoy,"6-2, 6-2, 6-4",M,S,USO,ATP
100,1907,3,6дус4,6,4,,,,USA,William Larned,USA,Robert LeRoy,"6-2, 6-2, 6-4",M,S,USO,ATP
101,1908,1,6дус1,6,1,,,,USA,William Larned,USA,Beals Wright,"6-1, 6-2, 8-6",M,S,USO,ATP
102,1908,2,6дус2,6,2,,,,USA,William Larned,USA,Beals Wright,"6-1, 6-2, 8-6",M,S,USO,ATP
103,1908,3,8дус6,8,6,,,,USA,William Larned,USA,Beals Wright,"6-1, 6-2, 8-6",M,S,USO,ATP
104,1909,1,6дус1,6,1,,,,USA,William Larned,USA,William Clothier,"6-1, 6-2, 5-7, 1-6, 6-1",M,S,USO,ATP
105,1909,2,6дус2,6,2,,,,USA,William Larned,USA,William Clothier,"6-1, 6-2, 5-7, 1-6, 6-1",M,S,USO,ATP
106,1909,3,5дус7,5,7,,,,USA,William Larned,USA,William Clothier,"6-1, 6-2, 5-7, 1-6, 6-1",M,S,USO,ATP
107,1909,4,1дус6,1,6,,,,USA,William Larned,USA,William Clothier,"6-1, 6-2, 5-7, 1-6, 6-1",M,S,USO,ATP
108,1909,5,6дус1,6,1,,,,USA,William Larned,USA,William Clothier,"6-1, 6-2, 5-7, 1-6, 6-1",M,S,USO,ATP
109,1910,1,6дус1,6,1,,,,USA,William Larned,USA,Tom Bundy,"6-1, 5-7, 6-0, 6-8, 6-1",M,S,USO,ATP
110,1910,2,5дус7,5,7,,,,USA,William Larned,USA,Tom Bundy,"6-1, 5-7, 6-0, 6-8, 6-1",M,S,USO,ATP
111,1910,3,6дус0,6,0,,,,USA,William Larned,USA,Tom Bundy,"6-1, 5-7, 6-0, 6-8, 6-1",M,S,USO,ATP
112,1910,4,6дус8,6,8,,,,USA,William Larned,USA,Tom Bundy,"6-1, 5-7, 6-0, 6-8, 6-1",M,S,USO,ATP
113,1910,5,6дус1,6,1,,,,USA,William Larned,USA,Tom Bundy,"6-1, 5-7, 6-0, 6-8, 6-1",M,S,USO,ATP
114,1911,1,6дус4,6,4,,,,USA,William Larned,USA,Maurice McLoughlin,"6-4, 6-4, 6-2",M,S,USO,ATP
115,1911,2,6дус4,6,4,,,,USA,William Larned,USA,Maurice McLoughlin,"6-4, 6-4, 6-2",M,S,USO,ATP
116,1911,3,6дус2,6,2,,,,USA,William Larned,USA,Maurice McLoughlin,"6-4, 6-4, 6-2",M,S,USO,ATP
117,1912,1,3дус6,3,6,,,,USA,Maurice McLoughlin,USA,Wallace Johnson,"3-6, 2-6, 6-2, 6-4, 6-2",M,S,USO,ATP
118,1912,2,2дус6,2,6,,,,USA,Maurice McLoughlin,USA,Wallace Johnson,"3-6, 2-6, 6-2, 6-4, 6-2",M,S,USO,ATP
119,1912,3,6дус2,6,2,,,,USA,Maurice McLoughlin,USA,Wallace Johnson,"3-6, 2-6, 6-2, 6-4, 6-2",M,S,USO,ATP
120,1912,4,6дус4,6,4,,,,USA,Maurice McLoughlin,USA,Wallace Johnson,"3-6, 2-6, 6-2, 6-4, 6-2",M,S,USO,ATP
121,1912,5,6дус2,6,2,,,,USA,Maurice McLoughlin,USA,Wallace Johnson,"3-6, 2-6, 6-2, 6-4, 6-2",M,S,USO,ATP
122,1913,1,6дус4,6,4,,,,USA,Maurice McLoughlin,USA,Richard Norris Williams,"6-4, 5-7, 6-3, 6-1",M,S,USO,ATP
123,1913,2,5дус7,5,7,,,,USA,Maurice McLoughlin,USA,Richard Norris Williams,"6-4, 5-7, 6-3, 6-1",M,S,USO,ATP
124,1913,3,6дус3,6,3,,,,USA,Maurice McLoughlin,USA,Richard Norris Williams,"6-4, 5-7, 6-3, 6-1",M,S,USO,ATP
125,1913,4,6дус1,6,1,,,,USA,Maurice McLoughlin,USA,Richard Norris Williams,"6-4, 5-7, 6-3, 6-1",M,S,USO,ATP
