"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"189","1959",1,"6–1","6","1","",NA,"","BRA","Maria Bueno","GBR","Christine Truman Janes","6–1, 6–4","F","WTA","S","USO"
"190","1959",2,"6–4","6","4","",NA,"","BRA","Maria Bueno","GBR","Christine Truman Janes","6–1, 6–4","F","WTA","S","USO"
"191","1960",1,"6–4","6","4","",NA,"","USA","Darlene Hard","BRA","Maria Bueno","6–4, 10–12, 6–4","F","WTA","S","USO"
"192","1960",2,"10–12","10","12","",NA,"","USA","Darlene Hard","BRA","Maria Bueno","6–4, 10–12, 6–4","F","WTA","S","USO"
"193","1960",3,"6–4","6","4","",NA,"","USA","Darlene Hard","BRA","Maria Bueno","6–4, 10–12, 6–4","F","WTA","S","USO"
"194","1961",1,"6–3","6","3","",NA,"","USA","Darlene Hard","GBR","Ann Haydon Jones","6–3, 6–4","F","WTA","S","USO"
"195","1961",2,"6–4","6","4","",NA,"","USA","Darlene Hard","GBR","Ann Haydon Jones","6–3, 6–4","F","WTA","S","USO"
"196","1962",1,"9–7","9","7","",NA,"","AUS","Margaret Court","USA","Darlene Hard","9–7, 6–4","F","WTA","S","USO"
"197","1962",2,"6–4","6","4","",NA,"","AUS","Margaret Court","USA","Darlene Hard","9–7, 6–4","F","WTA","S","USO"
"198","1963",1,"7–5","7","5","",NA,"","BRA","Maria Bueno","AUS","Margaret Court","7–5, 6–4","F","WTA","S","USO"
"199","1963",2,"6–4","6","4","",NA,"","BRA","Maria Bueno","AUS","Margaret Court","7–5, 6–4","F","WTA","S","USO"
"200","1964",1,"6–1","6","1","",NA,"","BRA","Maria Bueno","USA","Carole Caldwell Graebner","6–1, 6–0","F","WTA","S","USO"
"201","1964",2,"6–0","6","0","",NA,"","BRA","Maria Bueno","USA","Carole Caldwell Graebner","6–1, 6–0","F","WTA","S","USO"
"202","1965",1,"8–6","8","6","",NA,"","AUS","Margaret Court","USA","Billie Jean King","8–6, 7–5","F","WTA","S","USO"
"203","1965",2,"7–5","7","5","",NA,"","AUS","Margaret Court","USA","Billie Jean King","8–6, 7–5","F","WTA","S","USO"
"204","1966",1,"6–3","6","3","",NA,"","BRA","Maria Bueno","USA","Nancy Richey Gunter","6–3, 6–1","F","WTA","S","USO"
"205","1966",2,"6–1","6","1","",NA,"","BRA","Maria Bueno","USA","Nancy Richey Gunter","6–3, 6–1","F","WTA","S","USO"
"206","1967",1,"11–9","11","9","",NA,"","USA","Billie Jean King","GBR","Ann Haydon Jones","11–9, 6–4","F","WTA","S","USO"
"207","1967",2,"6–4","6","4","",NA,"","USA","Billie Jean King","GBR","Ann Haydon Jones","11–9, 6–4","F","WTA","S","USO"
"208","1968",1,"6–4","6","4","",NA,"","GBR","Virginia Wade","USA","Billie Jean King","6–4, 6–2","F","WTA","S","USO"
"209","1968",2,"6–2","6","2","",NA,"","GBR","Virginia Wade","USA","Billie Jean King","6–4, 6–2","F","WTA","S","USO"
"210","1969",1,"6–2","6","2","",NA,"","AUS","Margaret Court","USA","Nancy Richey Gunter","6–2, 6–2","F","WTA","S","USO"
"211","1969",2,"6–2","6","2","",NA,"","AUS","Margaret Court","USA","Nancy Richey Gunter","6–2, 6–2","F","WTA","S","USO"
"212","1970",1,"6–2","6","2","",NA,"","AUS","Margaret Court","USA","Rosemary Casals","6–2, 2–6, 6–1","F","WTA","S","USO"
"213","1970",2,"2–6","2","6","",NA,"","AUS","Margaret Court","USA","Rosemary Casals","6–2, 2–6, 6–1","F","WTA","S","USO"
"214","1970",3,"6–1","6","1","",NA,"","AUS","Margaret Court","USA","Rosemary Casals","6–2, 2–6, 6–1","F","WTA","S","USO"
