"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"1","1887",1,"6–1","6","1","",NA,"","USA","Ellen Hansell","USA","Laura Knight","6–1, 6–0","F","WTA","S","USO"
"2","1887",2,"6–0","6","0","",NA,"","USA","Ellen Hansell","USA","Laura Knight","6–1, 6–0","F","WTA","S","USO"
"3","1888",1,"6–3","6","3","",NA,"","USA","Bertha Townsend","USA","Ellen Hansell","6–3, 6–5","F","WTA","S","USO"
"4","1888",2,"6–5","6","5","",NA,"","USA","Bertha Townsend","USA","Ellen Hansell","6–3, 6–5","F","WTA","S","USO"
"5","1889",1,"7–5","7","5","",NA,"","USA","Bertha Townsend","USA","Lida Voorhees","7–5, 6–2","F","WTA","S","USO"
"6","1889",2,"6–2","6","2","",NA,"","USA","Bertha Townsend","USA","Lida Voorhees","7–5, 6–2","F","WTA","S","USO"
"7","1890",1,"6–2","6","2","",NA,"","USA","Ellen Roosevelt","USA","Bertha Townsend","6–2, 6–2","F","WTA","S","USO"
"8","1890",2,"6–2","6","2","",NA,"","USA","Ellen Roosevelt","USA","Bertha Townsend","6–2, 6–2","F","WTA","S","USO"
"9","1891",1,"6–4","6","4","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"10","1891",2,"6–1","6","1","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"11","1891",3,"4–6","4","6","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"12","1891",4,"6–3","6","3","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"13","1892",1,"5–7","5","7","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"14","1892",2,"6–3","6","3","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"15","1892",3,"6–4","6","4","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"16","1892",4,"4–6","4","6","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"17","1892",5,"6–2","6","2","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"18","1893",1,"6–1","6","1","",NA,"","USA","Aline Terry","USA","Augusta Schultz","6–1, 6–3","F","WTA","S","USO"
"19","1893",2,"6–3","6","3","",NA,"","USA","Aline Terry","USA","Augusta Schultz","6–1, 6–3","F","WTA","S","USO"
"20","1894",1,"7–5","7","5","",NA,"","USA","Helen Hellwig","USA","Aline Terry","7–5, 3–6, 6–0, 3–6, 6–3","F","WTA","S","USO"
"21","1894",2,"3–6","3","6","",NA,"","USA","Helen Hellwig","USA","Aline Terry","7–5, 3–6, 6–0, 3–6, 6–3","F","WTA","S","USO"
"22","1894",3,"6–0","6","0","",NA,"","USA","Helen Hellwig","USA","Aline Terry","7–5, 3–6, 6–0, 3–6, 6–3","F","WTA","S","USO"
"23","1894",4,"3–6","3","6","",NA,"","USA","Helen Hellwig","USA","Aline Terry","7–5, 3–6, 6–0, 3–6, 6–3","F","WTA","S","USO"
"24","1894",5,"6–3","6","3","",NA,"","USA","Helen Hellwig","USA","Aline Terry","7–5, 3–6, 6–0, 3–6, 6–3","F","WTA","S","USO"
"25","1895",1,"6–4","6","4","",NA,"","USA","Juliette Atkinson","USA","Helen Hellwig","6–4, 6–2, 6–1","F","WTA","S","USO"
"26","1895",2,"6–2","6","2","",NA,"","USA","Juliette Atkinson","USA","Helen Hellwig","6–4, 6–2, 6–1","F","WTA","S","USO"
"27","1895",3,"6–1","6","1","",NA,"","USA","Juliette Atkinson","USA","Helen Hellwig","6–4, 6–2, 6–1","F","WTA","S","USO"
"28","1896",1,"6–4","6","4","",NA,"","USA","Elisabeth Moore","USA","Juliette Atkinson","6–4, 4–6, 6–2, 6–2","F","WTA","S","USO"
"29","1896",2,"4–6","4","6","",NA,"","USA","Elisabeth Moore","USA","Juliette Atkinson","6–4, 4–6, 6–2, 6–2","F","WTA","S","USO"
"30","1896",3,"6–2","6","2","",NA,"","USA","Elisabeth Moore","USA","Juliette Atkinson","6–4, 4–6, 6–2, 6–2","F","WTA","S","USO"
"31","1896",4,"6–2","6","2","",NA,"","USA","Elisabeth Moore","USA","Juliette Atkinson","6–4, 4–6, 6–2, 6–2","F","WTA","S","USO"
"32","1897",1,"6–3","6","3","",NA,"","USA","Juliette Atkinson","USA","Elisabeth Moore","6–3, 6–3, 4–6, 3–6, 6–3","F","WTA","S","USO"
"33","1897",2,"6–3","6","3","",NA,"","USA","Juliette Atkinson","USA","Elisabeth Moore","6–3, 6–3, 4–6, 3–6, 6–3","F","WTA","S","USO"
"34","1897",3,"4–6","4","6","",NA,"","USA","Juliette Atkinson","USA","Elisabeth Moore","6–3, 6–3, 4–6, 3–6, 6–3","F","WTA","S","USO"
"35","1897",4,"3–6","3","6","",NA,"","USA","Juliette Atkinson","USA","Elisabeth Moore","6–3, 6–3, 4–6, 3–6, 6–3","F","WTA","S","USO"
"36","1897",5,"6–3","6","3","",NA,"","USA","Juliette Atkinson","USA","Elisabeth Moore","6–3, 6–3, 4–6, 3–6, 6–3","F","WTA","S","USO"
"37","1898",1,"6–3","6","3","",NA,"","USA","Juliette Atkinson","USA","Marion Jones","6–3, 5–7, 6–4, 2–6, 7–5","F","WTA","S","USO"
"38","1898",2,"5–7","5","7","",NA,"","USA","Juliette Atkinson","USA","Marion Jones","6–3, 5–7, 6–4, 2–6, 7–5","F","WTA","S","USO"
"39","1898",3,"6–4","6","4","",NA,"","USA","Juliette Atkinson","USA","Marion Jones","6–3, 5–7, 6–4, 2–6, 7–5","F","WTA","S","USO"
"40","1898",4,"2–6","2","6","",NA,"","USA","Juliette Atkinson","USA","Marion Jones","6–3, 5–7, 6–4, 2–6, 7–5","F","WTA","S","USO"
"41","1898",5,"7–5","7","5","",NA,"","USA","Juliette Atkinson","USA","Marion Jones","6–3, 5–7, 6–4, 2–6, 7–5","F","WTA","S","USO"
"42","1899",1,"6–1","6","1","",NA,"","USA","Marion Jones","USA","Maud Banks","6–1, 6–1, 7–5","F","WTA","S","USO"
"43","1899",2,"6–1","6","1","",NA,"","USA","Marion Jones","USA","Maud Banks","6–1, 6–1, 7–5","F","WTA","S","USO"
"44","1899",3,"7–5","7","5","",NA,"","USA","Marion Jones","USA","Maud Banks","6–1, 6–1, 7–5","F","WTA","S","USO"
"45","1900",1,"6–2","6","2","",NA,"","USA","Myrtle McAteer","USA","Edith Parker","6–2, 6–2, 6–0","F","WTA","S","USO"
"46","1900",2,"6–2","6","2","",NA,"","USA","Myrtle McAteer","USA","Edith Parker","6–2, 6–2, 6–0","F","WTA","S","USO"
"47","1900",3,"6–0","6","0","",NA,"","USA","Myrtle McAteer","USA","Edith Parker","6–2, 6–2, 6–0","F","WTA","S","USO"
"48","1901",1,"6–4","6","4","",NA,"","USA","Elisabeth Moore","USA","Myrtle McAteer","6–4, 3–6, 7–5, 2–6, 6–2","F","WTA","S","USO"
"49","1901",2,"3–6","3","6","",NA,"","USA","Elisabeth Moore","USA","Myrtle McAteer","6–4, 3–6, 7–5, 2–6, 6–2","F","WTA","S","USO"
"50","1901",3,"7–5","7","5","",NA,"","USA","Elisabeth Moore","USA","Myrtle McAteer","6–4, 3–6, 7–5, 2–6, 6–2","F","WTA","S","USO"
"51","1901",4,"2–6","2","6","",NA,"","USA","Elisabeth Moore","USA","Myrtle McAteer","6–4, 3–6, 7–5, 2–6, 6–2","F","WTA","S","USO"
"52","1901",5,"6–2","6","2","",NA,"","USA","Elisabeth Moore","USA","Myrtle McAteer","6–4, 3–6, 7–5, 2–6, 6–2","F","WTA","S","USO"
"53","1902",1,"6–1","6","1","",NA,"","USA","Marion Jones","USA","Elisabeth Moore","6–1, 1–0, retired","F","WTA","S","USO"
"54","1902",2,"1–0","1","0","",NA,"","USA","Marion Jones","USA","Elisabeth Moore","6–1, 1–0, retired","F","WTA","S","USO"
"55","1902",3,"retired","retired","retired","",NA,"","USA","Marion Jones","USA","Elisabeth Moore","6–1, 1–0, retired","F","WTA","S","USO"
"56","1903",1,"7–5","7","5","",NA,"","USA","Elisabeth Moore","USA","Marion Jones","7–5, 8–6","F","WTA","S","USO"
"57","1903",2,"8–6","8","6","",NA,"","USA","Elisabeth Moore","USA","Marion Jones","7–5, 8–6","F","WTA","S","USO"
"58","1904",1,"6–1","6","1","",NA,"","USA","May Sutton","USA","Elisabeth Moore","6–1, 6–2","F","WTA","S","USO"
"59","1904",2,"6–2","6","2","",NA,"","USA","May Sutton","USA","Elisabeth Moore","6–1, 6–2","F","WTA","S","USO"
"60","1905",1,"6–4","6","4","",NA,"","USA","Elisabeth Moore","USA","Helen Homans","6–4, 5–7, 6–1","F","WTA","S","USO"
"61","1905",2,"5–7","5","7","",NA,"","USA","Elisabeth Moore","USA","Helen Homans","6–4, 5–7, 6–1","F","WTA","S","USO"
"62","1905",3,"6–1","6","1","",NA,"","USA","Elisabeth Moore","USA","Helen Homans","6–4, 5–7, 6–1","F","WTA","S","USO"
"63","1906",1,"6–4","6","4","",NA,"","USA","Helen Homans","USA","Maud Barger-Wallach","6–4, 6–3","F","WTA","S","USO"
"64","1906",2,"6–3","6","3","",NA,"","USA","Helen Homans","USA","Maud Barger-Wallach","6–4, 6–3","F","WTA","S","USO"
"65","1907",1,"6–3","6","3","",NA,"","USA","Evelyn Sears","USA","Carrie Neely","6–3, 6–2","F","WTA","S","USO"
"66","1907",2,"6–2","6","2","",NA,"","USA","Evelyn Sears","USA","Carrie Neely","6–3, 6–2","F","WTA","S","USO"
"67","1908",1,"6–3","6","3","",NA,"","USA","Maud Barger-Wallach","USA","Evelyn Sears","6–3, 1–6, 6–3","F","WTA","S","USO"
"68","1908",2,"1–6","1","6","",NA,"","USA","Maud Barger-Wallach","USA","Evelyn Sears","6–3, 1–6, 6–3","F","WTA","S","USO"
"69","1908",3,"6–3","6","3","",NA,"","USA","Maud Barger-Wallach","USA","Evelyn Sears","6–3, 1–6, 6–3","F","WTA","S","USO"
"70","1909",1,"6–0","6","0","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Maud Barger-Wallach","6–0, 6–1","F","WTA","S","USO"
"71","1909",2,"6–1","6","1","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Maud Barger-Wallach","6–0, 6–1","F","WTA","S","USO"
"72","1910",1,"6–4","6","4","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Louise Hammond Raymond","6–4, 6–2","F","WTA","S","USO"
"73","1910",2,"6–2","6","2","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Louise Hammond Raymond","6–4, 6–2","F","WTA","S","USO"
"74","1911",1,"8–10","8","10","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Florence Sutton","8–10, 6–1, 9–7","F","WTA","S","USO"
"75","1911",2,"6–1","6","1","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Florence Sutton","8–10, 6–1, 9–7","F","WTA","S","USO"
"76","1911",3,"9–7","9","7","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Florence Sutton","8–10, 6–1, 9–7","F","WTA","S","USO"
"77","1912",1,"6–4","6","4","",NA,"","USA","Mary Browne","USA","Eleonora Sears","6–4, 6–2","F","WTA","S","USO"
"78","1912",2,"6–2","6","2","",NA,"","USA","Mary Browne","USA","Eleonora Sears","6–4, 6–2","F","WTA","S","USO"
"79","1913",1,"6–2","6","2","",NA,"","USA","Mary Browne","USA","Dorothy Green","6–2, 7–5","F","WTA","S","USO"
"80","1913",2,"7–5","7","5","",NA,"","USA","Mary Browne","USA","Dorothy Green","6–2, 7–5","F","WTA","S","USO"
"81","1914",1,"6–2","6","2","",NA,"","USA","Mary Browne","USA","Marie Wagner","6–2, 1–6, 6–1","F","WTA","S","USO"
"82","1914",2,"1–6","1","6","",NA,"","USA","Mary Browne","USA","Marie Wagner","6–2, 1–6, 6–1","F","WTA","S","USO"
"83","1914",3,"6–1","6","1","",NA,"","USA","Mary Browne","USA","Marie Wagner","6–2, 1–6, 6–1","F","WTA","S","USO"
"84","1915",1,"4–6","4","6","",NA,"","NOR","Molla Bjurstedt","USA","Hazel Hotchkiss Wightman","4–6, 6–2, 6–0","F","WTA","S","USO"
"85","1915",2,"6–2","6","2","",NA,"","NOR","Molla Bjurstedt","USA","Hazel Hotchkiss Wightman","4–6, 6–2, 6–0","F","WTA","S","USO"
"86","1915",3,"6–0","6","0","",NA,"","NOR","Molla Bjurstedt","USA","Hazel Hotchkiss Wightman","4–6, 6–2, 6–0","F","WTA","S","USO"
"87","1916",1,"6–0","6","0","",NA,"","NOR","Molla Bjurstedt","USA","Louise Hammond Raymond","6–0, 6–1","F","WTA","S","USO"
"88","1916",2,"6–1","6","1","",NA,"","NOR","Molla Bjurstedt","USA","Louise Hammond Raymond","6–0, 6–1","F","WTA","S","USO"
"89","1917[e]",1,"4–6","4","6","",NA,"","NOR","Molla Bjurstedt","USA","Marion Vanderhoef","4–6, 6–0, 6–2","F","WTA","S","USO"
"90","1917[e]",2,"6–0","6","0","",NA,"","NOR","Molla Bjurstedt","USA","Marion Vanderhoef","4–6, 6–0, 6–2","F","WTA","S","USO"
"91","1917[e]",3,"6–2","6","2","",NA,"","NOR","Molla Bjurstedt","USA","Marion Vanderhoef","4–6, 6–0, 6–2","F","WTA","S","USO"
"92","1918",1,"6–4","6","4","",NA,"","NOR","Molla Bjurstedt","USA","Eleanor Goss","6–4, 6–3","F","WTA","S","USO"
"93","1918",2,"6–3","6","3","",NA,"","NOR","Molla Bjurstedt","USA","Eleanor Goss","6–4, 6–3","F","WTA","S","USO"
"94","1919",1,"6–1","6","1","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Marion Zinderstein","6–1, 6–2","F","WTA","S","USO"
"95","1919",2,"6–2","6","2","",NA,"","USA","Hazel Hotchkiss Wightman","USA","Marion Zinderstein","6–1, 6–2","F","WTA","S","USO"
"96","1920",1,"6–3","6","3","",NA,"","USA","Molla Bjurstedt Mallory","USA","Marion Zinderstein","6–3, 6–1","F","WTA","S","USO"
"97","1920",2,"6–1","6","1","",NA,"","USA","Molla Bjurstedt Mallory","USA","Marion Zinderstein","6–3, 6–1","F","WTA","S","USO"
"98","1921",1,"4–6","4","6","",NA,"","USA","Molla Bjurstedt Mallory","USA","Mary Browne","4–6, 6–4, 6–2","F","WTA","S","USO"
"99","1921",2,"6–4","6","4","",NA,"","USA","Molla Bjurstedt Mallory","USA","Mary Browne","4–6, 6–4, 6–2","F","WTA","S","USO"
"100","1921",3,"6–2","6","2","",NA,"","USA","Molla Bjurstedt Mallory","USA","Mary Browne","4–6, 6–4, 6–2","F","WTA","S","USO"
"101","1922",1,"6–3","6","3","",NA,"","USA","Molla Bjurstedt Mallory","USA","Helen Wills Moody","6–3, 6–1","F","WTA","S","USO"
"102","1922",2,"6–1","6","1","",NA,"","USA","Molla Bjurstedt Mallory","USA","Helen Wills Moody","6–3, 6–1","F","WTA","S","USO"
"103","1923",1,"6–2","6","2","",NA,"","USA","Helen Wills Moody","USA","Molla Bjurstedt Mallory","6–2, 6–1","F","WTA","S","USO"
"104","1923",2,"6–1","6","1","",NA,"","USA","Helen Wills Moody","USA","Molla Bjurstedt Mallory","6–2, 6–1","F","WTA","S","USO"
"105","1924",1,"6–1","6","1","",NA,"","USA","Helen Wills Moody","USA","Molla Bjurstedt Mallory","6–1, 6–3","F","WTA","S","USO"
"106","1924",2,"6–3","6","3","",NA,"","USA","Helen Wills Moody","USA","Molla Bjurstedt Mallory","6–1, 6–3","F","WTA","S","USO"
"107","1925",1,"3–6","3","6","",NA,"","USA","Helen Wills Moody","GBR","Kitty McKane Godfree","3–6, 6–0, 6–2","F","WTA","S","USO"
"108","1925",2,"6–0","6","0","",NA,"","USA","Helen Wills Moody","GBR","Kitty McKane Godfree","3–6, 6–0, 6–2","F","WTA","S","USO"
"109","1925",3,"6–2","6","2","",NA,"","USA","Helen Wills Moody","GBR","Kitty McKane Godfree","3–6, 6–0, 6–2","F","WTA","S","USO"
"110","1926",1,"4–6","4","6","",NA,"","USA","Molla Bjurstedt Mallory","USA","Elizabeth Ryan","4–6, 6–4, 9–7","F","WTA","S","USO"
"111","1926",2,"6–4","6","4","",NA,"","USA","Molla Bjurstedt Mallory","USA","Elizabeth Ryan","4–6, 6–4, 9–7","F","WTA","S","USO"
"112","1926",3,"9–7","9","7","",NA,"","USA","Molla Bjurstedt Mallory","USA","Elizabeth Ryan","4–6, 6–4, 9–7","F","WTA","S","USO"
"113","1927",1,"6–1","6","1","",NA,"","USA","Helen Wills Moody","GBR","Betty Nuthall Shoemaker","6–1, 6–4","F","WTA","S","USO"
"114","1927",2,"6–4","6","4","",NA,"","USA","Helen Wills Moody","GBR","Betty Nuthall Shoemaker","6–1, 6–4","F","WTA","S","USO"
"115","1928",1,"6–2","6","2","",NA,"","USA","Helen Wills Moody","USA","Helen Jacobs","6–2, 6–1","F","WTA","S","USO"
"116","1928",2,"6–1","6","1","",NA,"","USA","Helen Wills Moody","USA","Helen Jacobs","6–2, 6–1","F","WTA","S","USO"
"117","1929",1,"6–4","6","4","",NA,"","USA","Helen Wills Moody","GBR","Phoebe Holcroft Watson","6–4, 6–2","F","WTA","S","USO"
"118","1929",2,"6–2","6","2","",NA,"","USA","Helen Wills Moody","GBR","Phoebe Holcroft Watson","6–4, 6–2","F","WTA","S","USO"
"119","1930",1,"6–1","6","1","",NA,"","GBR","Betty Nuthall Shoemaker","USA","Anna McCune Harper","6–1, 6–4","F","WTA","S","USO"
