"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"KAZ","Aleksandr Nedovyesov",NA,10,"ATP",1,20,"2014-08-23 14:46:59",1987-02-15,75.984293,183,"R",27.5181382614647,27,"Kazakhstan"
"KAZ","Andrey Golubev",NA,57,"ATP",1,114,"2014-08-23 14:46:59",1987-07-22,72.834685,170,"R",27.088295687885,27,"Kazakhstan"
"KAZ","Mikhail Kukushkin",NA,7,"ATP",1,13,"2014-08-23 14:46:59",1987-12-26,72.047283,159,"R",26.6584531143053,26,"Kazakhstan"
"LAT","Ernests Gulbis",11,40,"ATP",1,80,"2014-08-23 14:46:59",1988-08-30,74.80319,187,"R",25.9794661190965,25,"Latvia"
"LUX","Gilles Muller",NA,2,"ATP",1,3,"2014-08-23 14:46:59",1983-05-09,75.984293,202,"L",31.2908966461328,31,"Luxembourg"
"MDA","Radu Albot",NA,45,"ATP",1,90,"2014-08-23 14:46:59",1989-11-11,69,154,"R",24.7802874743326,24,"Moldova"
"NED","Robin Haase",NA,16,"ATP",1,31,"2014-08-23 14:46:59",1987-04-06,74.80319,170,"R",27.3812457221081,27,"Netherlands"
"NED","Igor Sijsling",NA,30,"ATP",1,60,"2014-08-23 14:46:59",1987-08-18,74.80319,192,"R",27.0143737166324,27,"Netherlands"
"POL","Jerzy Janowicz",NA,43,"ATP",1,85,"2014-08-23 14:46:59",1990-11-13,79.921303,200,"R",23.7754962354552,23,"Poland"
"POR","Joao Sousa",32,52,"ATP",1,104,"2014-08-23 14:46:59",1989-03-30,72.834685,161,"R",25.3990417522245,25,NA
"RSA","Kevin Anderson",18,44,"ATP",1,88,"2014-08-23 14:46:59",1986-05-18,79.921303,197,"R",28.2655715263518,28,"South Africa"
"RUS","Dmitry Tursunov",NA,54,"ATP",1,108,"2014-08-23 14:46:59",1982-12-12,72.834685,180,"R",31.6960985626283,31,"Russia"
"RUS","Alexander Kudryavtsev",NA,35,"ATP",1,70,"2014-08-23 14:46:59",1985-10-26,72,165,"R",28.8240930869268,28,"Russia"
"RUS","Andrey Kuznetsov",NA,14,"ATP",1,28,"2014-08-23 14:46:59",1991-02-22,72.834685,156,"R",23.4989733059548,23,"Russia"
